serial,date,year,year_n,month,day,decade,team,team_ar,status,home_score,away_score,home_result,away_result,total_goals,result,tournament,tournament_ar,city,country,country_ar,home_group,away_group,home_random,away_random,team_txt,random,result_desc,home_team,home_team_ar,home_team_txt,away_team,away_team_ar,away_team_txt,size,team_a,team_a_ar,team_a_txt,team_b,team_b_ar,team_b_txt,result_desc_a,result_desc_b,score_a,score_b,result_a,result_b,random_a,random_b
1,26/03/1900,1900,0,3,26,1,Wales,ويلز,home_team,1,1,0,0,2,0,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,0,1,0.18888,0.85962,Wales,0.18888,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,Wales,ويلز,Wales,England,إنجلترا,England,draw,draw,1,1,0,0,0.18888,0.85962
1,26/03/1900,1900,0,3,26,1,England,إنجلترا,away_team,1,1,0,0,2,0,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,0,1,0.18888,0.85962,England,0.85962,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,England,إنجلترا,England,Wales,ويلز,Wales,draw,draw,1,1,0,0,0.18888,0.85962
2,18/03/1901,1901,1,3,18,1,England,إنجلترا,home_team,6,0,6,-6,6,6,British Championship, البطولة البريطانية,Newcastle,England,إنجلترا,1,0,0.51046,0.42962,England,0.51046,winner,England,إنجلترا,England,Wales,ويلز,Wales,6,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,6,0,6,-6,0.51046,0.42962
2,18/03/1901,1901,1,3,18,1,Wales,ويلز,away_team,6,0,6,-6,6,-6,British Championship, البطولة البريطانية,Newcastle,England,إنجلترا,1,0,0.51046,0.42962,Wales,0.42962,loser,England,إنجلترا,England,Wales,ويلز,Wales,6,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,0,6,-6,6,0.51046,0.42962
3,03/03/1902,1902,2,3,3,1,Wales,ويلز,home_team,0,0,0,0,0,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.72553,0.86847,Wales,0.72553,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,Wales,ويلز,Wales,England,إنجلترا,England,draw,draw,0,0,0,0,0.72553,0.86847
3,03/03/1902,1902,2,3,3,1,England,إنجلترا,away_team,0,0,0,0,0,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.72553,0.86847,England,0.86847,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,England,إنجلترا,England,Wales,ويلز,Wales,draw,draw,0,0,0,0,0.72553,0.86847
4,20/07/1902,1902,2,7,20,1,Uruguay,أوروغواي,home_team,0,6,-6,6,6,-6,Friendly,مباراة ودية,Montevideo,Uruguay,أوروغواي,1,1,0.29914,0.59445,Uruguay,0.29914,loser,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,6,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,loser,winner,0,6,-6,6,0.29914,0.59445
4,20/07/1902,1902,2,7,20,1,Argentina,الأرجنتين,away_team,0,6,-6,6,6,6,Friendly,مباراة ودية,Montevideo,Uruguay,أوروغواي,1,1,0.29914,0.59445,Argentina,0.59445,winner,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,6,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,winner,loser,6,0,6,-6,0.29914,0.59445
5,02/03/1903,1903,3,3,2,1,England,إنجلترا,home_team,2,1,1,-1,3,1,British Championship, البطولة البريطانية,Portsmouth,England,إنجلترا,1,0,0.73497,0.00818,England,0.73497,winner,England,إنجلترا,England,Wales,ويلز,Wales,1,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,2,1,1,-1,0.73497,0.00818
5,02/03/1903,1903,3,3,2,1,Wales,ويلز,away_team,2,1,1,-1,3,-1,British Championship, البطولة البريطانية,Portsmouth,England,إنجلترا,1,0,0.73497,0.00818,Wales,0.00818,loser,England,إنجلترا,England,Wales,ويلز,Wales,1,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,1,2,-1,1,0.73497,0.00818
6,13/09/1903,1903,3,9,13,1,Argentina,الأرجنتين,home_team,2,3,-1,1,5,-1,Friendly,مباراة ودية,Buenos Aires,Argentina,الأرجنتين,1,1,0.60888,0.88934,Argentina,0.60888,loser,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,loser,winner,2,3,-1,1,0.60888,0.88934
6,13/09/1903,1903,3,9,13,1,Uruguay,أوروغواي,away_team,2,3,-1,1,5,1,Friendly,مباراة ودية,Buenos Aires,Argentina,الأرجنتين,1,1,0.60888,0.88934,Uruguay,0.88934,winner,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,winner,loser,3,2,1,-1,0.60888,0.88934
7,29/02/1904,1904,4,2,29,1,Wales,ويلز,home_team,2,2,0,0,4,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.01183,0.35252,Wales,0.01183,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,Wales,ويلز,Wales,England,إنجلترا,England,draw,draw,2,2,0,0,0.01183,0.35252
7,29/02/1904,1904,4,2,29,1,England,إنجلترا,away_team,2,2,0,0,4,0,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.01183,0.35252,England,0.35252,draw,Wales,ويلز,Wales,England,إنجلترا,England,0,England,إنجلترا,England,Wales,ويلز,Wales,draw,draw,2,2,0,0,0.01183,0.35252
8,01/05/1904,1904,4,5,1,1,Belgium,بلجيكا,home_team,3,3,0,0,6,0,Friendly,مباراة ودية,Brussels,Belgium,بلجيكا,1,0,0.24535,0.70093,Belgium,0.24535,draw,Belgium,بلجيكا,Belgium,France,فرنسا,France,0,Belgium,بلجيكا,Belgium,France,فرنسا,France,draw,draw,3,3,0,0,0.24535,0.70093
8,01/05/1904,1904,4,5,1,1,France,فرنسا,away_team,3,3,0,0,6,0,Friendly,مباراة ودية,Brussels,Belgium,بلجيكا,1,0,0.24535,0.70093,France,0.70093,draw,Belgium,بلجيكا,Belgium,France,فرنسا,France,0,France,فرنسا,France,Belgium,بلجيكا,Belgium,draw,draw,3,3,0,0,0.24535,0.70093
9,12/02/1905,1905,5,2,12,1,France,فرنسا,home_team,1,0,1,-1,1,1,Friendly,مباراة ودية,Paris,France,فرنسا,0,0,0.62015,0.56337,France,0.62015,winner,France,فرنسا,France,Switzerland,سويسرا,Switzerland,1,France,فرنسا,France,Switzerland,سويسرا,Switzerland,winner,loser,1,0,1,-1,0.62015,0.56337
9,12/02/1905,1905,5,2,12,1,Switzerland,سويسرا,away_team,1,0,1,-1,1,-1,Friendly,مباراة ودية,Paris,France,فرنسا,0,0,0.62015,0.56337,Switzerland,0.56337,loser,France,فرنسا,France,Switzerland,سويسرا,Switzerland,1,Switzerland,سويسرا,Switzerland,France,فرنسا,France,loser,winner,0,1,-1,1,0.62015,0.56337
10,27/03/1905,1905,5,3,27,1,England,إنجلترا,home_team,3,1,2,-2,4,2,British Championship, البطولة البريطانية,Liverpool,England,إنجلترا,1,0,0.23281,0.91892,England,0.23281,winner,England,إنجلترا,England,Wales,ويلز,Wales,2,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,3,1,2,-2,0.23281,0.91892
10,27/03/1905,1905,5,3,27,1,Wales,ويلز,away_team,3,1,2,-2,4,-2,British Championship, البطولة البريطانية,Liverpool,England,إنجلترا,1,0,0.23281,0.91892,Wales,0.91892,loser,England,إنجلترا,England,Wales,ويلز,Wales,2,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,1,3,-2,2,0.23281,0.91892
11,30/04/1905,1905,5,4,30,1,Belgium,بلجيكا,home_team,1,4,-3,3,5,-3,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.63549,0.53813,Belgium,0.63549,loser,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,3,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,loser,winner,1,4,-3,3,0.63549,0.53813
11,30/04/1905,1905,5,4,30,1,Netherlands,هولندا,away_team,1,4,-3,3,5,3,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.63549,0.53813,Netherlands,0.53813,winner,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,3,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,winner,loser,4,1,3,-3,0.63549,0.53813
12,07/05/1905,1905,5,5,7,1,Belgium,بلجيكا,home_team,7,0,7,-7,7,7,Friendly,مباراة ودية,Brussels,Belgium,بلجيكا,1,0,0.64401,0.02658,Belgium,0.64401,winner,Belgium,بلجيكا,Belgium,France,فرنسا,France,7,Belgium,بلجيكا,Belgium,France,فرنسا,France,winner,loser,7,0,7,-7,0.64401,0.02658
12,07/05/1905,1905,5,5,7,1,France,فرنسا,away_team,7,0,7,-7,7,-7,Friendly,مباراة ودية,Brussels,Belgium,بلجيكا,1,0,0.64401,0.02658,France,0.02658,loser,Belgium,بلجيكا,Belgium,France,فرنسا,France,7,France,فرنسا,France,Belgium,بلجيكا,Belgium,loser,winner,0,7,-7,7,0.64401,0.02658
13,14/05/1905,1905,5,5,14,1,Netherlands,هولندا,home_team,4,0,4,-4,4,4,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,1,0.81216,0.17188,Netherlands,0.81216,winner,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,4,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,winner,loser,4,0,4,-4,0.81216,0.17188
13,14/05/1905,1905,5,5,14,1,Belgium,بلجيكا,away_team,4,0,4,-4,4,-4,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,1,0.81216,0.17188,Belgium,0.17188,loser,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,4,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,loser,winner,0,4,-4,4,0.81216,0.17188
14,15/08/1905,1905,5,8,15,1,Argentina,الأرجنتين,home_team,0,0,0,0,0,0,Copa Lipton, كأس ليبتون,Buenos Aires,Argentina,الأرجنتين,1,1,0.9011,0.35862,Argentina,0.9011,draw,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,0,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,draw,draw,0,0,0,0,0.9011,0.35862
14,15/08/1905,1905,5,8,15,1,Uruguay,أوروغواي,away_team,0,0,0,0,0,0,Copa Lipton, كأس ليبتون,Buenos Aires,Argentina,الأرجنتين,1,1,0.9011,0.35862,Uruguay,0.35862,draw,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,0,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,draw,draw,0,0,0,0,0.9011,0.35862
15,19/03/1906,1906,6,3,19,1,Wales,ويلز,home_team,0,1,-1,1,1,-1,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,0,1,0.30448,0.58617,Wales,0.30448,loser,Wales,ويلز,Wales,England,إنجلترا,England,1,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,0,1,-1,1,0.30448,0.58617
15,19/03/1906,1906,6,3,19,1,England,إنجلترا,away_team,0,1,-1,1,1,1,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,0,1,0.30448,0.58617,England,0.58617,winner,Wales,ويلز,Wales,England,إنجلترا,England,1,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,1,0,1,-1,0.30448,0.58617
16,22/04/1906,1906,6,4,22,1,France,فرنسا,home_team,0,5,-5,5,5,-5,Friendly,مباراة ودية,Saint-Cloud,France,فرنسا,0,1,0.39137,0.16348,France,0.39137,loser,France,فرنسا,France,Belgium,بلجيكا,Belgium,5,France,فرنسا,France,Belgium,بلجيكا,Belgium,loser,winner,0,5,-5,5,0.39137,0.16348
16,22/04/1906,1906,6,4,22,1,Belgium,بلجيكا,away_team,0,5,-5,5,5,5,Friendly,مباراة ودية,Saint-Cloud,France,فرنسا,0,1,0.39137,0.16348,Belgium,0.16348,winner,France,فرنسا,France,Belgium,بلجيكا,Belgium,5,Belgium,بلجيكا,Belgium,France,فرنسا,France,winner,loser,5,0,5,-5,0.39137,0.16348
17,29/04/1906,1906,6,4,29,1,Belgium,بلجيكا,home_team,5,0,5,-5,5,5,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.85972,0.03792,Belgium,0.85972,winner,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,5,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,winner,loser,5,0,5,-5,0.85972,0.03792
17,29/04/1906,1906,6,4,29,1,Netherlands,هولندا,away_team,5,0,5,-5,5,-5,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.85972,0.03792,Netherlands,0.03792,loser,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,5,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,loser,winner,0,5,-5,5,0.85972,0.03792
18,13/05/1906,1906,6,5,13,1,Netherlands,هولندا,home_team,2,3,-1,1,5,-1,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,1,0.31951,0.98711,Netherlands,0.31951,loser,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,1,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,loser,winner,2,3,-1,1,0.31951,0.98711
18,13/05/1906,1906,6,5,13,1,Belgium,بلجيكا,away_team,2,3,-1,1,5,1,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,1,0.31951,0.98711,Belgium,0.98711,winner,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,1,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,winner,loser,3,2,1,-1,0.31951,0.98711
19,15/08/1906,1906,6,8,15,1,Uruguay,أوروغواي,home_team,0,2,-2,2,2,-2,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,1,1,0.72405,0.00968,Uruguay,0.72405,loser,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,2,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,loser,winner,0,2,-2,2,0.72405,0.00968
19,15/08/1906,1906,6,8,15,1,Argentina,الأرجنتين,away_team,0,2,-2,2,2,2,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,1,1,0.72405,0.00968,Argentina,0.00968,winner,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,2,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,winner,loser,2,0,2,-2,0.72405,0.00968
20,21/10/1906,1906,6,10,21,1,Argentina,الأرجنتين,home_team,2,1,1,-1,3,1,Copa Newton,كأس نيوتن,Buenos Aires,Argentina,الأرجنتين,1,1,0.43289,0.10853,Argentina,0.43289,winner,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,winner,loser,2,1,1,-1,0.43289,0.10853
20,21/10/1906,1906,6,10,21,1,Uruguay,أوروغواي,away_team,2,1,1,-1,3,-1,Copa Newton,كأس نيوتن,Buenos Aires,Argentina,الأرجنتين,1,1,0.43289,0.10853,Uruguay,0.10853,loser,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,loser,winner,1,2,-1,1,0.43289,0.10853
21,18/03/1907,1907,7,3,18,1,England,إنجلترا,home_team,1,1,0,0,2,0,British Championship, البطولة البريطانية,London,England,إنجلترا,1,0,0.94094,0.13946,England,0.94094,draw,England,إنجلترا,England,Wales,ويلز,Wales,0,England,إنجلترا,England,Wales,ويلز,Wales,draw,draw,1,1,0,0,0.94094,0.13946
21,18/03/1907,1907,7,3,18,1,Wales,ويلز,away_team,1,1,0,0,2,0,British Championship, البطولة البريطانية,London,England,إنجلترا,1,0,0.94094,0.13946,Wales,0.13946,draw,England,إنجلترا,England,Wales,ويلز,Wales,0,Wales,ويلز,Wales,England,إنجلترا,England,draw,draw,1,1,0,0,0.94094,0.13946
22,14/04/1907,1907,7,4,14,1,Belgium,بلجيكا,home_team,1,3,-2,2,4,-2,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.64182,0.95946,Belgium,0.64182,loser,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,2,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,loser,winner,1,3,-2,2,0.64182,0.95946
22,14/04/1907,1907,7,4,14,1,Netherlands,هولندا,away_team,1,3,-2,2,4,2,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.64182,0.95946,Netherlands,0.95946,winner,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,2,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,winner,loser,3,1,2,-2,0.64182,0.95946
23,21/04/1907,1907,7,4,21,1,Belgium,بلجيكا,home_team,1,2,-1,1,3,-1,Friendly,مباراة ودية,Brussels,Belgium,بلجيكا,1,0,0.08541,0.03219,Belgium,0.08541,loser,Belgium,بلجيكا,Belgium,France,فرنسا,France,1,Belgium,بلجيكا,Belgium,France,فرنسا,France,loser,winner,1,2,-1,1,0.08541,0.03219
23,21/04/1907,1907,7,4,21,1,France,فرنسا,away_team,1,2,-1,1,3,1,Friendly,مباراة ودية,Brussels,Belgium,بلجيكا,1,0,0.08541,0.03219,France,0.03219,winner,Belgium,بلجيكا,Belgium,France,فرنسا,France,1,France,فرنسا,France,Belgium,بلجيكا,Belgium,winner,loser,2,1,1,-1,0.08541,0.03219
24,09/05/1907,1907,7,5,9,1,Netherlands,هولندا,home_team,1,2,-1,1,3,-1,Friendly,مباراة ودية,Haarlem,Netherlands,هولندا,1,1,0.96616,0.39144,Netherlands,0.96616,loser,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,1,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,loser,winner,1,2,-1,1,0.96616,0.39144
24,09/05/1907,1907,7,5,9,1,Belgium,بلجيكا,away_team,1,2,-1,1,3,1,Friendly,مباراة ودية,Haarlem,Netherlands,هولندا,1,1,0.96616,0.39144,Belgium,0.39144,winner,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,1,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,winner,loser,2,1,1,-1,0.96616,0.39144
25,08/03/1908,1908,8,3,8,1,Switzerland,سويسرا,home_team,1,2,-1,1,3,-1,Friendly,مباراة ودية,Geneva,Switzerland,سويسرا,0,0,0.4805,0.15903,Switzerland,0.4805,loser,Switzerland,سويسرا,Switzerland,France,فرنسا,France,1,Switzerland,سويسرا,Switzerland,France,فرنسا,France,loser,winner,1,2,-1,1,0.4805,0.15903
25,08/03/1908,1908,8,3,8,1,France,فرنسا,away_team,1,2,-1,1,3,1,Friendly,مباراة ودية,Geneva,Switzerland,سويسرا,0,0,0.4805,0.15903,France,0.15903,winner,Switzerland,سويسرا,Switzerland,France,فرنسا,France,1,France,فرنسا,France,Switzerland,سويسرا,Switzerland,winner,loser,2,1,1,-1,0.4805,0.15903
26,16/03/1908,1908,8,3,16,1,Wales,ويلز,home_team,1,7,-6,6,8,-6,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.68501,0.69785,Wales,0.68501,loser,Wales,ويلز,Wales,England,إنجلترا,England,6,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,1,7,-6,6,0.68501,0.69785
26,16/03/1908,1908,8,3,16,1,England,إنجلترا,away_team,1,7,-6,6,8,6,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,0,1,0.68501,0.69785,England,0.69785,winner,Wales,ويلز,Wales,England,إنجلترا,England,6,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,7,1,6,-6,0.68501,0.69785
27,29/03/1908,1908,8,3,29,1,Belgium,بلجيكا,home_team,1,4,-3,3,5,-3,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.33947,0.65572,Belgium,0.33947,loser,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,3,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,loser,winner,1,4,-3,3,0.33947,0.65572
27,29/03/1908,1908,8,3,29,1,Netherlands,هولندا,away_team,1,4,-3,3,5,3,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.33947,0.65572,Netherlands,0.65572,winner,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,3,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,winner,loser,4,1,3,-3,0.33947,0.65572
28,05/04/1908,1908,8,4,5,1,Switzerland,سويسرا,home_team,5,3,2,-2,8,2,Friendly,مباراة ودية,Basel,Switzerland,سويسرا,0,1,0.7869,0.76033,Switzerland,0.7869,winner,Switzerland,سويسرا,Switzerland,Germany,ألمانيا,Germany,2,Switzerland,سويسرا,Switzerland,Germany,ألمانيا,Germany,winner,loser,5,3,2,-2,0.7869,0.76033
28,05/04/1908,1908,8,4,5,1,Germany,ألمانيا,away_team,5,3,2,-2,8,-2,Friendly,مباراة ودية,Basel,Switzerland,سويسرا,0,1,0.7869,0.76033,Germany,0.76033,loser,Switzerland,سويسرا,Switzerland,Germany,ألمانيا,Germany,2,Germany,ألمانيا,Germany,Switzerland,سويسرا,Switzerland,loser,winner,3,5,-2,2,0.7869,0.76033
29,12/04/1908,1908,8,4,12,1,France,فرنسا,home_team,1,2,-1,1,3,-1,Friendly,مباراة ودية,Colombes,France,فرنسا,0,1,0.12137,0.04366,France,0.12137,loser,France,فرنسا,France,Belgium,بلجيكا,Belgium,1,France,فرنسا,France,Belgium,بلجيكا,Belgium,loser,winner,1,2,-1,1,0.12137,0.04366
29,12/04/1908,1908,8,4,12,1,Belgium,بلجيكا,away_team,1,2,-1,1,3,1,Friendly,مباراة ودية,Colombes,France,فرنسا,0,1,0.12137,0.04366,Belgium,0.04366,winner,France,فرنسا,France,Belgium,بلجيكا,Belgium,1,Belgium,بلجيكا,Belgium,France,فرنسا,France,winner,loser,2,1,1,-1,0.12137,0.04366
30,26/04/1908,1908,8,4,26,1,Netherlands,هولندا,home_team,3,1,2,-2,4,2,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,1,0.81934,0.8281,Netherlands,0.81934,winner,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,2,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,winner,loser,3,1,2,-2,0.81934,0.8281
30,26/04/1908,1908,8,4,26,1,Belgium,بلجيكا,away_team,3,1,2,-2,4,-2,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,1,0.81934,0.8281,Belgium,0.8281,loser,Netherlands,هولندا,Netherlands,Belgium,بلجيكا,Belgium,2,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,loser,winner,1,3,-2,2,0.81934,0.8281
31,10/05/1908,1908,8,5,10,1,Netherlands,هولندا,home_team,4,1,3,-3,5,3,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,0,0.74209,0.12457,Netherlands,0.74209,winner,Netherlands,هولندا,Netherlands,France,فرنسا,France,3,Netherlands,هولندا,Netherlands,France,فرنسا,France,winner,loser,4,1,3,-3,0.74209,0.12457
31,10/05/1908,1908,8,5,10,1,France,فرنسا,away_team,4,1,3,-3,5,-3,Friendly,مباراة ودية,Rotterdam,Netherlands,هولندا,1,0,0.74209,0.12457,France,0.12457,loser,Netherlands,هولندا,Netherlands,France,فرنسا,France,3,France,فرنسا,France,Netherlands,هولندا,Netherlands,loser,winner,1,4,-3,3,0.74209,0.12457
32,15/08/1908,1908,8,8,15,1,Uruguay,أوروغواي,home_team,2,2,0,0,4,0,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,1,1,0.48291,0.43999,Uruguay,0.48291,draw,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,0,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,draw,draw,2,2,0,0,0.48291,0.43999
32,15/08/1908,1908,8,8,15,1,Argentina,الأرجنتين,away_team,2,2,0,0,4,0,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,1,1,0.48291,0.43999,Argentina,0.43999,draw,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,0,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,draw,draw,2,2,0,0,0.48291,0.43999
33,13/09/1908,1908,8,9,13,1,Argentina,الأرجنتين,home_team,2,1,1,-1,3,1,Copa Newton,كأس نيوتن,Buenos Aires,Argentina,الأرجنتين,1,1,0.73164,0.15123,Argentina,0.73164,winner,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,winner,loser,2,1,1,-1,0.73164,0.15123
33,13/09/1908,1908,8,9,13,1,Uruguay,أوروغواي,away_team,2,1,1,-1,3,-1,Copa Newton,كأس نيوتن,Buenos Aires,Argentina,الأرجنتين,1,1,0.73164,0.15123,Uruguay,0.15123,loser,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,loser,winner,1,2,-1,1,0.73164,0.15123
34,04/10/1908,1908,8,10,4,1,Argentina,الأرجنتين,home_team,0,1,-1,1,1,-1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,1,1,0.01594,0.18676,Argentina,0.01594,loser,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,loser,winner,0,1,-1,1,0.01594,0.18676
34,04/10/1908,1908,8,10,4,1,Uruguay,أوروغواي,away_team,0,1,-1,1,1,1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,1,1,0.01594,0.18676,Uruguay,0.18676,winner,Argentina,الأرجنتين,Argentina,Uruguay,أوروغواي,Uruguay,1,Uruguay,أوروغواي,Uruguay,Argentina,الأرجنتين,Argentina,winner,loser,1,0,1,-1,0.01594,0.18676
35,15/03/1909,1909,9,3,15,1,England,إنجلترا,home_team,2,0,2,-2,2,2,British Championship, البطولة البريطانية,Nottingham,England,إنجلترا,1,0,0.34003,0.82075,England,0.34003,winner,England,إنجلترا,England,Wales,ويلز,Wales,2,England,إنجلترا,England,Wales,ويلز,Wales,winner,loser,2,0,2,-2,0.34003,0.82075
35,15/03/1909,1909,9,3,15,1,Wales,ويلز,away_team,2,0,2,-2,2,-2,British Championship, البطولة البريطانية,Nottingham,England,إنجلترا,1,0,0.34003,0.82075,Wales,0.82075,loser,England,إنجلترا,England,Wales,ويلز,Wales,2,Wales,ويلز,Wales,England,إنجلترا,England,loser,winner,0,2,-2,2,0.34003,0.82075
36,21/03/1909,1909,9,3,21,1,Belgium,بلجيكا,home_team,1,4,-3,3,5,-3,Friendly,مباراة ودية,Antwerp,Belgium,بلجيكا,1,1,0.79134,0.22508,Belgium,0.79134,loser,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,3,Belgium,بلجيكا,Belgium,Netherlands,هولندا,Netherlands,loser,winner,1,4,-3,3,0.79134,0.22508
