team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Netherlands,Portugal,هولندا,البرتغال,4,8,2,14,14,57,29,Netherlands,Portugal
Poland,Portugal,بولندا,البرتغال,5,5,3,13,23,38,38,Poland,Portugal
Qatar,Portugal,قطر,البرتغال,0,2,0,2,0,100,0,Qatar,Portugal
Saudi Arabia,Portugal,السعودية,البرتغال,0,2,0,2,0,100,0,Saudi_Arabia,Portugal
Serbia,Portugal,صربيا,البرتغال,4,3,1,8,12,38,50,Serbia,Portugal
South Korea,Portugal,كوريا الجنوبية,البرتغال,0,0,1,1,100,0,0,South_Korea,Portugal
Spain,Portugal,إسبانيا,البرتغال,17,8,15,40,38,20,42,Spain,Portugal
Switzerland,Portugal,سويسرا,البرتغال,5,9,11,25,44,36,20,Switzerland,Portugal
Tunisia,Portugal,تونس,البرتغال,2,0,0,2,0,0,100,Tunisia,Portugal
United States,Portugal,الولايات المتحدة ,البرتغال,3,2,2,7,29,29,43,United_States,Portugal
Uruguay,Portugal,أوروغواي,البرتغال,1,1,1,3,33,33,33,Uruguay,Portugal
Wales,Portugal,ويلز,البرتغال,0,3,1,4,25,75,0,Wales,Portugal
Argentina,Qatar,الأرجنتين,قطر,0,0,2,2,100,0,0,Argentina,Qatar
Australia,Qatar,أستراليا,قطر,1,1,3,5,60,20,20,Australia,Qatar
Belgium,Qatar,بلجيكا,قطر,0,0,1,1,100,0,0,Belgium,Qatar
Brazil,Qatar,البرازيل,قطر,0,0,1,1,100,0,0,Brazil,Qatar
Canada,Qatar,كوستا ريكا,قطر,0,0,1,1,100,0,0,Canada,Qatar
Costa Rica,Qatar,كرواتيا,قطر,1,0,0,1,0,0,100,Costa_Rica,Qatar
Croatia,Qatar,الاكوادور,قطر,0,0,1,1,100,0,0,Croatia,Qatar
Ecuador,Qatar,غانا,قطر,1,1,1,3,33,33,33,Ecuador,Qatar
Ghana,Qatar,إيران,قطر,0,0,1,1,100,0,0,Ghana,Qatar
Iran,Qatar,اليابان,قطر,4,3,15,22,68,14,18,Iran,Qatar
Japan,Qatar,المغرب,قطر,3,2,2,7,29,29,43,Japan,Qatar
Morocco,Qatar,البرتغال,قطر,1,0,1,2,50,0,50,Morocco,Qatar
Portugal,Qatar,السعودية,قطر,0,0,2,2,100,0,0,Portugal,Qatar
Saudi Arabia,Qatar,صربيا,قطر,14,8,17,39,44,21,36,Saudi_Arabia,Qatar
Serbia,Qatar,كوريا الجنوبية,قطر,0,1,2,3,67,33,0,Serbia,Qatar
South Korea,Qatar,سويسرا,قطر,1,3,6,10,60,30,10,South_Korea,Qatar
Switzerland,Qatar,تونس,قطر,0,1,0,1,0,100,0,Switzerland,Qatar
Tunisia,Qatar,الولايات المتحدة ,قطر,0,2,1,3,33,67,0,Tunisia,Qatar
United States,Qatar,ويلز,قطر,0,0,1,1,100,0,0,United_States,Qatar
Wales,Qatar,كندا,قطر,0,0,1,1,100,0,0,Wales,Qatar
Argentina,Saudi Arabia,الأرجنتين,السعودية,2,0,2,4,50,0,50,Argentina,Saudi_Arabia
Australia,Saudi Arabia,أستراليا,السعودية,3,2,5,10,50,20,30,Australia,Saudi_Arabia
Belgium,Saudi Arabia,بلجيكا,السعودية,0,1,2,3,67,33,0,Belgium,Saudi_Arabia
Brazil,Saudi Arabia,البرازيل,السعودية,0,0,5,5,100,0,0,Brazil,Saudi_Arabia
Cameroon,Saudi Arabia,الكاميرون,السعودية,1,2,2,5,40,40,20,Cameroon,Saudi_Arabia
Canada,Saudi Arabia,كندا,السعودية,0,1,0,1,0,100,0,Canada,Saudi_Arabia
Costa Rica,Saudi Arabia,كوستا ريكا,السعودية,0,1,3,4,75,25,0,Costa_Rica,Saudi_Arabia
Denmark,Saudi Arabia,الدنمارك,السعودية,0,0,3,3,100,0,0,Denmark,Saudi_Arabia
Ecuador,Saudi Arabia,إنجلترا,السعودية,1,0,0,1,0,0,100,Ecuador,Saudi_Arabia
England,Saudi Arabia,فرنسا,السعودية,2,0,0,2,0,0,100,England,Saudi_Arabia
