team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Ecuador,Switzerland,الاكوادور,سويسرا,0,1,0,1,0,100,0,Ecuador,Switzerland
England,Switzerland,إنجلترا,سويسرا,6,4,19,29,66,14,21,England,Switzerland
France,Switzerland,فرنسا,سويسرا,11,12,16,39,41,31,28,France,Switzerland
Germany,Switzerland,ألمانيا,سويسرا,8,9,35,52,67,17,15,Germany,Switzerland
Japan,Switzerland,اليابان,سويسرا,1,1,1,3,33,33,33,Japan,Switzerland
Mexico,Switzerland,المكسيك,سويسرا,1,4,1,6,17,67,17,Mexico,Switzerland
Morocco,Switzerland,المغرب,سويسرا,0,0,2,2,100,0,0,Morocco,Switzerland
Netherlands,Switzerland,هولندا,سويسرا,3,15,14,32,44,47,9,Netherlands,Switzerland
Poland,Switzerland,بولندا,سويسرا,5,1,4,10,40,10,50,Poland,Switzerland
Portugal,Switzerland,البرتغال,سويسرا,5,11,9,25,36,44,20,Portugal,Switzerland
Qatar,Switzerland,قطر,سويسرا,0,0,1,1,100,0,0,Qatar,Switzerland
Serbia,Switzerland,صربيا,سويسرا,3,1,1,5,20,20,60,Serbia,Switzerland
South Korea,Switzerland,كوريا الجنوبية,سويسرا,0,1,1,2,50,50,0,South_Korea,Switzerland
Spain,Switzerland,إسبانيا,سويسرا,6,1,17,24,71,4,25,Spain,Switzerland
Tunisia,Switzerland,تونس,سويسرا,1,2,0,3,0,67,33,Tunisia,Switzerland
United States,Switzerland,الولايات المتحدة ,سويسرا,4,4,1,9,11,44,44,United_States,Switzerland
Uruguay,Switzerland,أوروغواي,سويسرا,1,0,2,3,67,0,33,Uruguay,Switzerland
Wales,Switzerland,ويلز,سويسرا,1,5,2,8,25,62,12,Wales,Switzerland
Argentina,Tunisia,الأرجنتين,تونس,0,0,1,1,100,0,0,Argentina,Tunisia
Australia,Tunisia,أستراليا,تونس,0,1,0,1,0,100,0,Australia,Tunisia
Belgium,Tunisia,بلجيكا,تونس,1,1,2,4,50,25,25,Belgium,Tunisia
Brazil,Tunisia,البرازيل,تونس,0,0,2,2,100,0,0,Brazil,Tunisia
Cameroon,Tunisia,الكاميرون,تونس,7,3,9,19,47,16,37,Cameroon,Tunisia
Canada,Tunisia,كندا,تونس,0,1,0,1,0,100,0,Canada,Tunisia
Costa Rica,Tunisia,كوستا ريكا,تونس,0,1,0,1,0,100,0,Costa_Rica,Tunisia
Croatia,Tunisia,كرواتيا,تونس,0,1,0,1,0,100,0,Croatia,Tunisia
Denmark,Tunisia,الدنمارك,تونس,0,0,1,1,100,0,0,Denmark,Tunisia
England,Tunisia,إنجلترا,تونس,1,0,2,3,67,0,33,England,Tunisia
France,Tunisia,فرنسا,تونس,2,0,2,4,50,0,50,France,Tunisia
Germany,Tunisia,ألمانيا,تونس,2,0,1,3,33,0,67,Germany,Tunisia
Ghana,Tunisia,غانا,تونس,5,3,9,17,53,18,29,Ghana,Tunisia
Iran,Tunisia,إيران,تونس,1,1,0,2,0,50,50,Iran,Tunisia
Japan,Tunisia,اليابان,تونس,0,1,4,5,80,20,0,Japan,Tunisia
Mexico,Tunisia,المكسيك,تونس,0,1,0,1,0,100,0,Mexico,Tunisia
Morocco,Tunisia,المغرب,تونس,22,6,10,38,26,16,58,Morocco,Tunisia
Netherlands,Tunisia,هولندا,تونس,2,0,1,3,33,0,67,Netherlands,Tunisia
Poland,Tunisia,بولندا,تونس,0,1,2,3,67,33,0,Poland,Tunisia
Portugal,Tunisia,البرتغال,تونس,2,0,0,2,0,0,100,Portugal,Tunisia
Qatar,Tunisia,قطر,تونس,0,1,2,3,67,33,0,Qatar,Tunisia
Saudi Arabia,Tunisia,السعودية,تونس,1,4,3,8,38,50,12,Saudi_Arabia,Tunisia
Senegal,Tunisia,السنغال,تونس,6,9,4,19,21,47,32,Senegal,Tunisia
Serbia,Tunisia,صربيا,تونس,0,0,2,2,100,0,0,Serbia,Tunisia
South Korea,Tunisia,كوريا الجنوبية,تونس,1,1,0,2,0,50,50,South_Korea,Tunisia
Spain,Tunisia,إسبانيا,تونس,0,0,2,2,100,0,0,Spain,Tunisia
Switzerland,Tunisia,سويسرا,تونس,1,0,2,3,67,0,33,Switzerland,Tunisia
United States,Tunisia,الولايات المتحدة ,تونس,1,0,0,1,0,0,100,United_States,Tunisia
Uruguay,Tunisia,أوروغواي,تونس,1,0,0,1,0,0,100,Uruguay,Tunisia
Wales,Tunisia,ويلز,تونس,0,1,0,1,0,100,0,Wales,Tunisia
Argentina,United States,الأرجنتين,الولايات المتحدة ,2,2,6,10,60,20,20,Argentina,United_States
Australia,United States,أستراليا,الولايات المتحدة ,1,1,1,3,33,33,33,Australia,United_States
Belgium,United States,بلجيكا,الولايات المتحدة ,0,1,5,6,83,17,0,Belgium,United_States
Brazil,United States,البرازيل,الولايات المتحدة ,0,1,17,18,94,6,0,Brazil,United_States
Cameroon,United States,الكاميرون,الولايات المتحدة ,1,0,0,1,0,0,100,Cameroon,United_States
Canada,United States,كندا,الولايات المتحدة ,11,15,10,36,28,42,31,Canada,United_States
Costa Rica,United States,كوستا ريكا,الولايات المتحدة ,6,19,16,41,39,46,15,Costa_Rica,United_States
Croatia,United States,كرواتيا,الولايات المتحدة ,0,0,1,1,100,0,0,Croatia,United_States
Denmark,United States,الدنمارك,الولايات المتحدة ,1,0,2,3,67,0,33,Denmark,United_States
Ecuador,United States,الاكوادور,الولايات المتحدة ,4,4,5,13,38,31,31,Ecuador,United_States
England,United States,إنجلترا,الولايات المتحدة ,1,2,8,11,73,18,9,England,United_States
France,United States,فرنسا,الولايات المتحدة ,1,0,3,4,75,0,25,France,United_States
Germany,United States,ألمانيا,الولايات المتحدة ,0,4,7,11,64,36,0,Germany,United_States
Ghana,United States,غانا,الولايات المتحدة ,0,2,2,4,50,50,0,Ghana,United_States
Iran,United States,إيران,الولايات المتحدة ,1,0,1,2,50,0,50,Iran,United_States
Japan,United States,اليابان,الولايات المتحدة ,0,1,2,3,67,33,0,Japan,United_States
Mexico,United States,المكسيك,الولايات المتحدة ,15,21,35,71,49,30,21,Mexico,United_States
Morocco,United States,المغرب,الولايات المتحدة ,0,1,3,4,75,25,0,Morocco,United_States
Netherlands,United States,هولندا,الولايات المتحدة ,0,1,4,5,80,20,0,Netherlands,United_States
Poland,United States,بولندا,الولايات المتحدة ,3,7,6,16,38,44,19,Poland,United_States
Portugal,United States,البرتغال,الولايات المتحدة ,3,2,2,7,29,29,43,Portugal,United_States
Qatar,United States,قطر,الولايات المتحدة ,0,1,0,1,0,100,0,Qatar,United_States
Saudi Arabia,United States,السعودية,الولايات المتحدة ,2,2,2,6,33,33,33,Saudi_Arabia,United_States
Serbia,United States,صربيا,الولايات المتحدة ,1,0,1,2,50,0,50,Serbia,United_States
South Korea,United States,كوريا الجنوبية,الولايات المتحدة ,2,3,4,9,44,33,22,South_Korea,United_States
Spain,United States,إسبانيا,الولايات المتحدة ,0,1,4,5,80,20,0,Spain,United_States
Switzerland,United States,سويسرا,الولايات المتحدة ,4,1,4,9,44,11,44,Switzerland,United_States
Tunisia,United States,تونس,الولايات المتحدة ,1,0,0,1,0,0,100,Tunisia,United_States
Uruguay,United States,أوروغواي,الولايات المتحدة ,4,2,1,7,14,29,57,Uruguay,United_States
Wales,United States,ويلز,الولايات المتحدة ,1,1,0,2,0,50,50,Wales,United_States
Argentina,Uruguay,الأرجنتين,أوروغواي,43,52,84,179,47,29,24,Argentina,Uruguay
Australia,Uruguay,أستراليا,أوروغواي,0,4,3,7,43,57,0,Australia,Uruguay
Belgium,Uruguay,بلجيكا,أوروغواي,0,0,2,2,100,0,0,Belgium,Uruguay
Brazil,Uruguay,البرازيل,أوروغواي,19,20,37,76,49,26,25,Brazil,Uruguay
Canada,Uruguay,كندا,أوروغواي,0,2,0,2,0,100,0,Canada,Uruguay
Costa Rica,Uruguay,كوستا ريكا,أوروغواي,3,6,1,10,10,60,30,Costa_Rica,Uruguay
Denmark,Uruguay,الدنمارك,أوروغواي,0,0,2,2,100,0,0,Denmark,Uruguay
Ecuador,Uruguay,الاكوادور,أوروغواي,10,31,7,48,15,65,21,Ecuador,Uruguay
England,Uruguay,إنجلترا,أوروغواي,3,5,3,11,27,45,27,England,Uruguay
France,Uruguay,فرنسا,أوروغواي,4,2,3,9,33,22,44,France,Uruguay
Germany,Uruguay,ألمانيا,أوروغواي,2,0,8,10,80,0,20,Germany,Uruguay
Ghana,Uruguay,غانا,أوروغواي,1,0,0,1,0,0,100,Ghana,Uruguay
Iran,Uruguay,إيران,أوروغواي,1,0,1,2,50,0,50,Iran,Uruguay
Japan,Uruguay,اليابان,أوروغواي,2,4,2,8,25,50,25,Japan,Uruguay
Mexico,Uruguay,المكسيك,أوروغواي,7,7,8,22,36,32,32,Mexico,Uruguay
Morocco,Uruguay,المغرب,أوروغواي,0,1,0,1,0,100,0,Morocco,Uruguay
Netherlands,Uruguay,هولندا,أوروغواي,1,1,2,4,50,25,25,Netherlands,Uruguay
Poland,Uruguay,بولندا,أوروغواي,2,1,1,4,25,25,50,Poland,Uruguay
Portugal,Uruguay,البرتغال,أوروغواي,1,1,1,3,33,33,33,Portugal,Uruguay
Saudi Arabia,Uruguay,السعودية,أوروغواي,1,1,1,3,33,33,33,Saudi_Arabia,Uruguay
Senegal,Uruguay,السنغال,أوروغواي,1,0,0,1,0,0,100,Senegal,Uruguay
Serbia,Uruguay,صربيا,أوروغواي,1,0,1,2,50,0,50,Serbia,Uruguay
South Korea,Uruguay,كوريا الجنوبية,أوروغواي,1,6,1,8,12,75,12,South_Korea,Uruguay
Spain,Uruguay,إسبانيا,أوروغواي,5,0,5,10,50,0,50,Spain,Uruguay
Switzerland,Uruguay,سويسرا,أوروغواي,1,2,0,3,0,67,33,Switzerland,Uruguay
Tunisia,Uruguay,تونس,أوروغواي,1,0,0,1,0,0,100,Tunisia,Uruguay
United States,Uruguay,الولايات المتحدة ,أوروغواي,4,1,2,7,29,14,57,United_States,Uruguay
Wales,Uruguay,ويلز,أوروغواي,1,1,0,2,0,50,50,Wales,Uruguay
Argentina,Wales,الأرجنتين,ويلز,1,0,1,2,50,0,50,Argentina,Wales
Australia,Wales,أستراليا,ويلز,0,0,1,1,100,0,0,Australia,Wales
Belgium,Wales,بلجيكا,ويلز,5,5,6,16,38,31,31,Belgium,Wales
Brazil,Wales,البرازيل,ويلز,1,1,8,10,80,10,10,Brazil,Wales
Canada,Wales,كندا,ويلز,0,2,1,3,33,67,0,Canada,Wales
Costa Rica,Wales,كوستا ريكا,ويلز,0,1,1,2,50,50,0,Costa_Rica,Wales
Croatia,Wales,كرواتيا,ويلز,2,0,4,6,67,0,33,Croatia,Wales
Denmark,Wales,الدنمارك,ويلز,0,4,7,11,64,36,0,Denmark,Wales
England,Wales,إنجلترا,ويلز,19,13,51,83,61,16,23,England,Wales
France,Wales,فرنسا,ويلز,1,1,4,6,67,17,17,France,Wales
Germany,Wales,ألمانيا,ويلز,6,2,9,17,53,12,35,Germany,Wales
Iran,Wales,إيران,ويلز,0,1,0,1,0,100,0,Iran,Wales
Japan,Wales,اليابان,ويلز,0,1,0,1,0,100,0,Japan,Wales
Mexico,Wales,المكسيك,ويلز,2,1,2,5,40,20,40,Mexico,Wales
Netherlands,Wales,هولندا,ويلز,0,0,10,10,100,0,0,Netherlands,Wales
Poland,Wales,بولندا,ويلز,2,1,6,9,67,11,22,Poland,Wales
Portugal,Wales,البرتغال,ويلز,0,1,3,4,75,25,0,Portugal,Wales
Qatar,Wales,قطر,ويلز,0,1,0,1,0,100,0,Qatar,Wales
Saudi Arabia,Wales,السعودية,ويلز,0,1,0,1,0,100,0,Saudi_Arabia,Wales
Serbia,Wales,صربيا,ويلز,2,0,4,6,67,0,33,Serbia,Wales
Spain,Wales,إسبانيا,ويلز,2,1,3,6,50,17,33,Spain,Wales
Switzerland,Wales,سويسرا,ويلز,1,2,5,8,62,25,12,Switzerland,Wales
Tunisia,Wales,تونس,ويلز,0,0,1,1,100,0,0,Tunisia,Wales
United States,Wales,الولايات المتحدة ,ويلز,1,0,1,2,50,0,50,United_States,Wales
Uruguay,Wales,أوروغواي,ويلز,1,0,1,2,50,0,50,Uruguay,Wales
